type,text,text_after,images,answers,answers_draggable
MANY_FROM_MANY,К клеточным факторам противовирусной защиты относятся:,,[],"[{'uid': 24277, 'answer': 'специфические антитела', 'images': []}, {'uid': 26875, 'answer': 'макрофаги', 'images': []}, {'uid': 32383, 'answer': 'натуральные киллеры', 'images': []}, {'uid': 715, 'answer': 'сенсибилизированные цитотоксические Т-лимфоциты', 'images': []}, {'uid': 17577, 'answer': 'интерфероны', 'images': []}]",[]
MANY_FROM_MANY,Искусственный пассивный противовирусный иммунитет формируется при использовании:,,[],"[{'uid': 15529, 'answer': 'иммуноглобулина противогриппозного', 'images': []}, {'uid': 14355, 'answer': 'иммуноглобулина антирабического', 'images': []}, {'uid': 4579, 'answer': 'вакцины гриппозной', 'images': []}, {'uid': 1170, 'answer': 'иммуноглобулина против гепатита В', 'images': []}, {'uid': 30861, 'answer': 'вакцины гепатита В', 'images': []}]",[]
MANY_FROM_MANY,Какие из перечисленных вирусов передаются половым путем?,,[],"[{'uid': 7074, 'answer': 'вирусы простого герпеса 2 типа', 'images': []}, {'uid': 20631, 'answer': 'вирусы гепатита В', 'images': []}, {'uid': 12021, 'answer': 'вирусы гриппа', 'images': []}, {'uid': 2604, 'answer': 'вирусы кори', 'images': []}]",[]
MANY_FROM_MANY,"Выберите вакцины, формирующие местный иммунитет слизистых оболочек:",,[],"[{'uid': 4856, 'answer': 'гриппозная живая', 'images': []}, {'uid': 14671, 'answer': 'полиомиелитная инактивированная', 'images': []}, {'uid': 11875, 'answer': 'рекомбинантная вакцина против гепатита В', 'images': []}, {'uid': 20393, 'answer': 'полиомиелитная живая', 'images': []}, {'uid': 25920, 'answer': 'гриппозная субъединичная', 'images': []}]",[]
MATCHING,Установите соответствие между вирусом и типом нуклеиновой кислоты:,,[],"[{'uid': 1634, 'answer': 'вирус простого герпеса', 'images': []}, {'uid': 8625, 'answer': 'вирус гриппа', 'images': []}, {'uid': 19154, 'answer': 'ротавирус', 'images': []}, {'uid': 2274, 'answer': 'вирус бешенства', 'images': []}, {'uid': 12649, 'answer': 'вирус полиомиелита', 'images': []}]","[{'uid': 0, 'answer': 'одноцепочечная +РНК', 'images': []}, {'uid': 1, 'answer': 'одноцепочечная сегментированная -РНК', 'images': []}, {'uid': 2, 'answer': 'двухцепочечная РНК', 'images': []}, {'uid': 3, 'answer': 'одноцепочечная несегментированная -РНК', 'images': []}, {'uid': 4, 'answer': 'двухцепочечная ДНК', 'images': []}]"
MATCHING,Установите соответствие между вирусом и таксономической категорией:,,[],"[{'uid': 28474, 'answer': 'вирус гепатита А', 'images': []}, {'uid': 24356, 'answer': 'вирус гепатита C', 'images': []}, {'uid': 12734, 'answer': 'вирус гепатита В', 'images': []}, {'uid': 20039, 'answer': 'вирус гепатита Е', 'images': []}]","[{'uid': 0, 'answer': 'семейство Flaviviridae', 'images': []}, {'uid': 1, 'answer': 'семейство Hepadnaviridae', 'images': []}, {'uid': 2, 'answer': 'семейство Hepeviridae', 'images': []}, {'uid': 3, 'answer': 'семейство Picornaviridae', 'images': []}]"
MATCHING,﻿Установите соответствие между группой препаратов и основным механизмом действия:,,[],"[{'uid': 25067, 'answer': 'альфа-интерфероны', 'images': []}, {'uid': 25201, 'answer': 'ингибиторы протеаз', 'images': []}, {'uid': 12380, 'answer': 'специфические иммуноглобулины', 'images': []}, {'uid': 14886, 'answer': 'аномальные нуклеозиды', 'images': []}]","[{'uid': 0, 'answer': 'нейтрализация внеклеточных вирусных частиц', 'images': []}, {'uid': 1, 'answer': 'ингибирование синтеза вирусных нуклеиновых кислот', 'images': []}, {'uid': 2, 'answer': 'нарушение нарезания вирусных полипротеинов', 'images': []}, {'uid': 3, 'answer': 'ингибирование трансляции и разрушение мРНК', 'images': []}]"
MATCHING,Установите соответствие между вирусом и морфологией вириона:,,[],"[{'uid': 21049, 'answer': 'вирус гепатита В', 'images': []}, {'uid': 10697, 'answer': 'вирус гриппа', 'images': []}, {'uid': 17078, 'answer': 'ротавирус', 'images': []}, {'uid': 7579, 'answer': 'вирус иммунодефицита человека', 'images': []}, {'uid': 25818, 'answer': 'вирус гепатита А', 'images': []}]","[{'uid': 0, 'answer': 'простой (безоболочечный), многослойный белковый капсид, РНК геномный', 'images': []}, {'uid': 1, 'answer': 'сложный (оболочечный), икосаэдрический тип симметрии капсида, ДНК геномный', 'images': []}, {'uid': 2, 'answer': 'сложный (оболочечный), спиральный тип симметрии, -РНК геномный', 'images': []}, {'uid': 3, 'answer': 'простой (безоболочечный), икосаэдрический тип симметрии капсида, +РНК геномный', 'images': []}, {'uid': 4, 'answer': 'сложный (оболочечный), икосаэдрический тип симметрии капсида, РНК геномный', 'images': []}]"
MATCHING,Установите соответствие между вирусом и таксономической категорией:,,[],"[{'uid': 3626, 'answer': 'вирус SARS-CoV-2', 'images': []}, {'uid': 2781, 'answer': 'вирус гриппа', 'images': []}, {'uid': 22084, 'answer': 'вирус бешенства', 'images': []}, {'uid': 7963, 'answer': 'вирус клещевого энцефалита', 'images': []}, {'uid': 3569, 'answer': 'вирус кори', 'images': []}]","[{'uid': 0, 'answer': 'Orthomyxoviridae', 'images': []}, {'uid': 1, 'answer': 'Rhabdoviridae', 'images': []}, {'uid': 2, 'answer': 'Coronaviridae', 'images': []}, {'uid': 3, 'answer': 'Flaviviridae', 'images': []}, {'uid': 4, 'answer': 'Paramyxoviridae', 'images': []}]"
ONE_FROM_MANY,Вирусы бактерий называются:,,[],"[{'uid': 32580, 'answer': 'бактериолизинами', 'images': []}, {'uid': 16839, 'answer': 'бактериофилами', 'images': []}, {'uid': 23600, 'answer': 'макрофагами', 'images': []}, {'uid': 12944, 'answer': 'бактериофагами', 'images': []}, {'uid': 21988, 'answer': 'бактериофобами', 'images': []}]",[]
ONE_FROM_MANY,"На основании устройства вирусной частицы предположите, к какому из перечисленных семейств относится данный вирус?",,['6659a7e1054a90.87456739.png'],"[{'uid': 21725, 'answer': 'Picornaviridae', 'images': []}, {'uid': 29082, 'answer': 'Adenoviridae', 'images': []}, {'uid': 2389, 'answer': 'Orthomyxoviridae', 'images': []}, {'uid': 19904, 'answer': 'Retroviridae', 'images': []}]",[]
ONE_FROM_MANY,"Препарат ламивудин является нуклеозидным ингибитором обратной транскриптазы.На основании этого предположите, против какого вируса он будет активен?",,[],"[{'uid': 14906, 'answer': 'вирус гриппа B', 'images': []}, {'uid': 12270, 'answer': 'вирус гепатита C', 'images': []}, {'uid': 29486, 'answer': 'вирус гриппа А', 'images': []}, {'uid': 29830, 'answer': 'ВИЧ-1', 'images': []}]",[]
ONE_FROM_MANY,Какому из перечисленных вирусов соответствует данная схема стратегии репликации генома?,,['6659a7e112b0c6.78608759.png'],"[{'uid': 11122, 'answer': 'Вирус полиомиелита', 'images': []}, {'uid': 19665, 'answer': 'Вирус иммунодефицита человека (ВИЧ-1)', 'images': []}, {'uid': 31721, 'answer': 'Вирус кори', 'images': []}, {'uid': 11774, 'answer': 'Вирус бешенства', 'images': []}, {'uid': 12431, 'answer': 'Вирус простого герпеса', 'images': []}]",[]
ONE_FROM_MANY,Какому из перечисленных вирусов соответствует данная схема стратегии репликации генома?,,['6659a7e11aa248.60657802.png'],"[{'uid': 7165, 'answer': 'Вирус гепатита А', 'images': []}, {'uid': 26335, 'answer': 'Вирус иммунодефицита человека (ВИЧ-1)', 'images': []}, {'uid': 4965, 'answer': 'Вирус простого герпеса', 'images': []}, {'uid': 27034, 'answer': 'Вирус полиомиелита', 'images': []}, {'uid': 23497, 'answer': 'Вирус гриппа А', 'images': []}]",[]
ONE_FROM_MANY,Основным механизмом передачи вируса кори является:,,[],"[{'uid': 8380, 'answer': 'контактный', 'images': []}, {'uid': 8909, 'answer': 'вертикальный', 'images': []}, {'uid': 23968, 'answer': 'фекально-оральный', 'images': []}, {'uid': 816, 'answer': 'аэрогенный', 'images': []}, {'uid': 27473, 'answer': 'трансмиссивный', 'images': []}]",[]
ONE_FROM_MANY,Возбудитель какого из перечисленных заболеваний обладает изображенным типом симметрии капсида?,,['6659a7e0e584a9.93393230.png'],"[{'uid': 10437, 'answer': 'болезнь Лайма', 'images': []}, {'uid': 18830, 'answer': 'сибирская язва', 'images': []}, {'uid': 12327, 'answer': 'скарлатина', 'images': []}, {'uid': 20026, 'answer': 'ВИЧ-инфекция', 'images': []}]",[]
ONE_FROM_MANY,"Укажите, к какому семейству относят вирус бешенства:",,[],"[{'uid': 20533, 'answer': 'Rhabdoviridae', 'images': []}, {'uid': 20563, 'answer': 'Flaviviridae', 'images': []}, {'uid': 8553, 'answer': 'Retroviridae', 'images': []}, {'uid': 504, 'answer': 'Paramyxoviridae', 'images': []}, {'uid': 8036, 'answer': 'Picornaviridae', 'images': []}]",[]
ONE_FROM_MANY,Какому из перечисленных вирусов соответствует данная схема стратегии репликации генома?,,['6659a7e12de462.65318712.png'],"[{'uid': 31955, 'answer': 'Вирус иммунодефицита человека (ВИЧ-1)', 'images': []}, {'uid': 14736, 'answer': 'Вирус SARS-CoV-2', 'images': []}, {'uid': 5850, 'answer': 'Вирус простого герпеса', 'images': []}, {'uid': 26259, 'answer': 'Бактериофаг T4', 'images': []}, {'uid': 17930, 'answer': 'Вирус бешенства', 'images': []}]",[]
ONE_FROM_MANY,Какой тип симметрии вирусного капсида представлен на данной трехмерной реконструкции?,,['6659a7e0d6efb4.68527591.png'],"[{'uid': 27234, 'answer': 'Кольцевой', 'images': []}, {'uid': 4861, 'answer': 'Спиральный', 'images': []}, {'uid': 18480, 'answer': 'Икосаэдрический', 'images': []}, {'uid': 7499, 'answer': 'Двухцепочечный', 'images': []}]",[]
ONE_FROM_MANY,Терапия ВИЧ-инфекции:,,[],"[{'uid': 13165, 'answer': 'проводится комбинациями антиретровирусных препаратов', 'images': []}, {'uid': 27019, 'answer': 'не разработана', 'images': []}, {'uid': 30765, 'answer': 'проводится ингибиторами нейраминидазы', 'images': []}, {'uid': 2744, 'answer': 'проводится ингибиторами РНК-зависимой-РНК-полимеразы', 'images': []}]",[]
ONE_FROM_MANY,Для какого из перечисленных вирусов характерна способность встраиваться в хромосомы человека?,,[],"[{'uid': 24144, 'answer': 'вирус иммунодефицита человека', 'images': []}, {'uid': 2762, 'answer': 'вирус полиомиелита', 'images': []}, {'uid': 17797, 'answer': 'вирус гриппа', 'images': []}, {'uid': 29469, 'answer': 'вирус гепатита A', 'images': []}, {'uid': 27669, 'answer': 'вирус бешенства', 'images': []}]",[]
ONE_FROM_MANY,"К какому классу препаратов, применяемых для терапии вирусных инфекций, относится вещество, представленное на схеме?",,['6659a7e0d3f031.33226604.png'],"[{'uid': 18635, 'answer': 'аномальный нуклеозид', 'images': []}, {'uid': 2954, 'answer': 'пептидный ингибитор слияния', 'images': []}, {'uid': 15435, 'answer': 'интерферон', 'images': []}, {'uid': 25620, 'answer': 'моноклональное антитело', 'images': []}]",[]
ONE_FROM_MANY,Какому из перечисленных вирусов соответствует данная схема строения вириона?,,['6659a7e13af534.23892804.png'],"[{'uid': 2059, 'answer': 'Вирус кори', 'images': []}, {'uid': 16993, 'answer': 'Вирус простого герпеса', 'images': []}, {'uid': 5528, 'answer': 'Вирус гепатита А', 'images': []}, {'uid': 30406, 'answer': 'Вирус иммунодефицита человека (ВИЧ-1)', 'images': []}, {'uid': 3788, 'answer': 'Вирус бешенства', 'images': []}]",[]
ONE_FROM_MANY,Какая из перечисленных ферментативных активностей обозначена знаком вопроса (?) в данной схеме стратегии репликации генома?,,['6659a7e0edc538.24331749.png'],"[{'uid': 26744, 'answer': 'ДНК-зависимая ДНК-полимераза', 'images': []}, {'uid': 17118, 'answer': 'РНК-зависимая РНК-полимераза', 'images': []}, {'uid': 30565, 'answer': 'ДНК-тополизомераза', 'images': []}, {'uid': 22764, 'answer': 'ДНК-лигаза', 'images': []}, {'uid': 20573, 'answer': 'Обратная транскриптаза', 'images': []}]",[]
ONE_FROM_MANY,Интерфероны являются:,,[],"[{'uid': 25629, 'answer': 'аномальными нуклеозидами', 'images': []}, {'uid': 28831, 'answer': 'производными салициловой кислоты', 'images': []}, {'uid': 25118, 'answer': 'кольцевыми молекулами ДНК', 'images': []}, {'uid': 15242, 'answer': 'малыми белками', 'images': []}, {'uid': 14653, 'answer': 'участками ДНК вируса', 'images': []}]",[]
TEXT,"﻿Напишите латинское название семейства, к которому относится вирус гепатита А:",,[],[],[]
TEXT,"Напишите латинское название семейства, к которому относятся аденовирусы:",,[],[],[]
TEXT,"Напишите латинское название семейства, к которому относится цитомегаловирус:",,[],[],[]
TEXT,"Напишите латинское название семейства, к которому относятся вирусы гриппа:",,[],[],[]
TEXT,"Напишите латинское название любого из семейств вирусов, поражающих человека и содержащих одноцепочечную РНК:",,[],[],[]
